cycle,t,drain_s,failures,ferry_cri_up,ferry_cri_fds,ferry_cri_rss_mib,ferry_cri_threads,ferry_streamer_up,ferry_streamer_fds,ferry_streamer_rss_mib,ferry_streamer_threads,ferry_proxyd_up,ferry_proxyd_fds,ferry_proxyd_rss_mib,ferry_proxyd_threads,ferry_proxy_up,ferry_proxy_fds,ferry_proxy_rss_mib,ferry_proxy_threads,ferry_netpol_up,ferry_netpol_fds,ferry_netpol_rss_mib,ferry_netpol_threads,ferry_storage_up,ferry_storage_fds,ferry_storage_rss_mib,ferry_storage_threads,kubelet_up,kubelet_fds,kubelet_rss_mib,kubelet_threads,etcd_up,etcd_fds,etcd_rss_mib,etcd_threads,kube_apiserver_up,kube_apiserver_fds,kube_apiserver_rss_mib,kube_apiserver_threads,kube_controller_manager_up,kube_controller_manager_fds,kube_controller_manager_rss_mib,kube_controller_manager_threads,kube_scheduler_up,kube_scheduler_fds,kube_scheduler_rss_mib,kube_scheduler_threads,vms,run_files,run_sockets,run_dirs,run_mib,run_logs_mib,state_mib,etcd_db_mib,if_bridge,if_vmenet,if_total,tcp_listen,tcp_established,tcp_close_wait,udp,unix_socks,api_up,k8s_pods,k8s_pods_all,k8s_endpoints,k8s_events,host_used_mib
0,1790304605.47,0,0,1,58,47,42,1,11,38,13,1,12,33,15,1,11,35,13,1,14,32,14,1,10,28,11,1,34,70,21,1,86,114,22,1,118,260,27,1,35,101,23,1,16,54,18,1,101,2,41,340,0,490,96,6,12,39,4,6,0,1,27,1,0,1,0,20566,67667
1,1790304638.49,3.3,0,1,58,182,47,1,11,41,15,1,12,34,15,1,11,36,15,1,14,35,17,1,10,28,11,1,35,88,30,1,86,130,22,1,119,330,27,1,35,119,23,1,16,62,21,1,228,2,161,637,1,490,96,6,12,39,4,7,0,1,27,1,0,1,0,20881,66471
2,1790304671.24,3.3,0,1,58,221,48,1,11,42,15,1,12,34,15,1,11,36,16,1,14,36,17,1,10,28,11,1,35,93,30,1,86,141,22,1,119,387,27,1,35,120,23,1,16,62,21,1,269,2,121,618,1,490,96,6,12,39,4,7,0,1,27,1,0,1,0,21178,66443
3,1790304704.78,3.4,0,1,61,231,47,1,11,42,15,1,12,35,17,1,11,37,17,1,14,36,18,1,10,28,11,1,35,102,41,1,86,146,22,1,119,415,28,1,35,122,23,1,16,63,21,1,401,2,241,916,2,490,96,6,12,39,4,7,0,1,30,1,0,1,0,21476,66659
4,1790304738.57,3.4,0,1,61,243,46,1,11,42,15,1,12,35,17,1,11,37,17,1,14,36,18,1,10,29,12,1,35,105,41,1,86,149,22,1,119,425,28,1,35,124,23,1,16,63,21,1,314,2,161,639,2,490,96,6,12,39,4,7,0,1,30,1,0,1,0,21775,66281
5,1790304803.34,3.4,0,1,61,246,47,1,11,42,15,1,12,35,17,1,11,37,17,1,14,36,18,1,10,29,12,1,35,105,41,1,86,157,22,1,119,444,28,1,35,125,23,1,16,63,21,1,272,2,161,640,3,490,96,6,12,39,4,7,0,1,30,1,0,1,0,22075,66314
6,1790304837.35,3.4,0,1,61,250,46,1,11,42,15,1,12,35,17,1,11,37,17,1,14,36,18,1,10,29,12,1,35,106,41,1,86,163,22,1,119,444,28,1,35,125,23,1,16,64,21,1,203,2,41,343,3,490,96,6,12,39,4,7,0,1,30,1,0,1,0,22375,66227
7,1790304871.52,3.4,0,1,61,261,46,1,11,43,15,1,12,35,17,1,11,37,17,1,14,36,18,1,10,29,12,1,35,106,41,1,86,166,22,1,119,445,28,1,35,125,23,1,16,64,22,1,313,2,161,640,3,490,96,6,12,39,4,7,0,1,30,1,0,1,0,22674,65951
8,1790304912.40,3.4,0,1,61,264,45,1,11,43,15,1,12,35,17,1,11,38,17,1,14,36,18,1,10,29,12,1,35,106,41,1,86,171,22,1,119,445,28,1,35,125,23,1,16,65,22,1,262,2,121,542,4,490,96,6,12,39,4,7,0,1,30,1,0,1,0,22974,66126
9,1790304950.57,3.4,0,1,61,281,44,1,11,43,15,1,12,35,17,1,11,38,18,1,14,36,18,1,10,29,12,1,35,106,41,1,86,174,22,1,119,458,28,1,35,126,23,1,16,65,22,1,391,2,239,834,4,490,96,6,12,39,4,7,0,1,30,1,0,1,0,23270,66106
10,1790304999.31,3.4,0,1,61,288,50,1,11,43,15,1,12,35,17,1,11,38,18,1,14,37,18,1,10,29,12,1,35,108,41,1,86,178,22,1,119,458,28,1,35,126,23,1,16,65,22,1,300,2,161,642,5,490,96,6,12,39,4,7,0,1,30,1,0,1,0,23570,66327
11,1790305070.96,3.3,0,1,61,304,45,1,11,43,15,1,12,36,17,1,11,38,18,1,14,37,18,1,10,29,12,1,35,108,41,1,86,181,22,1,119,458,28,1,35,126,23,1,16,65,22,1,269,2,159,637,5,490,96,6,12,39,4,7,0,1,30,1,0,1,0,23868,66119
12,1790305105.28,3.5,0,1,61,308,47,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,108,41,1,86,184,22,1,119,459,28,1,35,126,24,1,16,65,22,1,293,2,161,643,6,490,96,6,12,39,4,7,0,1,30,1,0,1,0,24168,66300
13,1790305139.92,3.4,0,1,61,311,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,108,41,1,86,188,22,1,119,459,28,1,35,126,24,1,16,66,22,1,195,2,41,346,6,490,96,6,12,39,4,7,0,1,30,1,0,1,0,24468,66165
14,1790305174.90,3.4,0,1,61,314,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,108,41,1,86,192,22,1,119,459,28,1,35,126,24,1,16,66,22,1,302,2,161,643,6,490,96,6,12,39,4,7,0,1,30,1,0,1,0,24767,66123
15,1790305214.75,3.4,0,1,61,318,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,109,41,1,86,194,22,1,119,459,28,1,35,126,24,1,16,66,22,1,260,2,121,545,7,490,96,6,12,39,4,7,0,1,30,1,0,1,0,25067,65982
16,1790305300.04,3.4,0,1,61,318,47,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,109,41,1,86,197,22,1,119,459,28,1,35,127,24,1,16,67,22,1,276,2,161,644,7,490,96,6,12,39,4,7,0,1,30,1,0,1,0,25367,66295
17,1790305335.00,3.4,0,1,61,318,46,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,110,41,1,87,199,22,1,119,459,28,1,35,127,24,1,16,67,22,1,265,2,121,546,8,551,96,6,12,39,4,7,0,1,30,1,0,1,0,25667,66039
18,1790305370.49,3.4,0,1,61,319,48,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,18,1,10,29,12,1,35,112,41,1,87,200,22,1,119,459,28,1,35,127,24,1,16,67,22,1,370,2,239,838,8,551,96,6,12,39,4,7,0,1,30,1,0,1,0,25963,65967
19,1790305407.20,3.3,0,1,61,321,45,1,11,44,15,1,12,36,17,1,11,39,18,1,14,37,19,1,10,29,12,1,35,112,41,1,87,202,22,1,119,459,28,1,35,127,24,1,16,67,22,1,298,2,157,636,9,551,96,6,12,39,4,7,0,1,30,1,0,1,0,26255,66073
